Figure_ID,Filename,Experiment,Description,Main_Paper,Supplementary,Resolution,Purpose
FIG_01,label_distribution.png,Dataset Exploration,"Distribution of Licit, Illicit, and Unknown transactions across the 49 discrete timesteps",Main Paper (Sec 3),No,300 DPI,Illustrate class imbalance and large volume of unknown nodes
FIG_02,temporal_evolution.png,Temporal Dynamics,Total transaction volume and class composition over chronological time,Main Paper (Sec 3),No,300 DPI,Document transaction dynamics over 49 timesteps
FIG_03,illicit_ratio_over_time.png,Temporal Dynamics,Illicit transaction ratio across timesteps showing regime collapse at Timestep 43,Main Paper (Sec 3/8),No,300 DPI,Demonstrate temporal non-stationarity and darknet shutdown event
FIG_04,edge_homophily_matrix.png,Graph Topology,Edge class transition matrix and homophily distribution among labeled and unknown transactions,Main Paper (Sec 3/8),No,300 DPI,Quantify graph homophily and edge connectivity to unknown context
FIG_05,baseline_model_comparison.png,Phase 2 Baselines,Validation and test illicit F1 and PR-AUC performance across conventional ML baselines,Supplementary,Yes,300 DPI,Summarize Phase 2 conventional baseline benchmark
FIG_06,gnn_vs_conventional_baselines.png,Phase 2 vs Phase 3,Direct comparison of test illicit F1 and PR-AUC between tree ensembles and GNN models,Main Paper (Sec 4),No,300 DPI,Primary benchmark comparison figure
FIG_07,gnn_model_comparison_f1.png,Phase 3 Primary GNNs,"Test illicit F1 scores across GCN, GraphSAGE, and GAT for Local and Full features",Main Paper (Sec 4),No,300 DPI,Compare GNN architectures on illicit transaction classification
FIG_08,gnn_precision_recall_curves.png,Phase 3 Primary GNNs,Precision-Recall curves for primary GNN models evaluated on the blind test set (Timesteps 40–49),Main Paper (Sec 4),No,300 DPI,Illustrate precision-recall trade-offs under class imbalance
FIG_09,gnn_roc_curves.png,Phase 3 Primary GNNs,Receiver Operating Characteristic (ROC) curves across GNN architectures,Supplementary,Yes,300 DPI,Provide standard ROC-AUC performance curves
FIG_10,feature_ablation_local_vs_full.png,Ablation Study,Impact of local 93 vs full 165 feature spaces across GNN architectures,Main Paper (Sec 5),No,300 DPI,Evaluate contribution of 1-hop handcrafted aggregate features
FIG_11,unknown_node_ablation.png,Ablation Study,Test F1 performance comparison when unknown nodes are retained vs removed from the graph,Main Paper (Sec 6),No,300 DPI,Demonstrate architecture-dependent impact of unlabeled structural context
FIG_12,depth_ablation.png,Ablation Study,"Test F1 performance across 1, 2, and 3 message-passing layers for GCN, GraphSAGE, and GAT",Main Paper (Sec 6),No,300 DPI,Analyze over-smoothing and depth sensitivity
FIG_13,direction_sensitivity_ablation.png,Ablation Study,"Test F1 comparison across Forward, Backward, and Bidirectional graph propagation",Main Paper (Sec 6),No,300 DPI,Examine directional message flow sensitivity
FIG_14,gnn_temporal_performance_timesteps.png,Error Analysis,Timestep-by-timestep test performance showing collapse during the Timestep 43 regime change,Main Paper (Sec 8),No,300 DPI,Analyze temporal failure modes and domain shift vulnerability
FIG_15,gnn_compute_benchmark.png,Computational Benchmark,Training and inference latency across GNN architectures and feature configurations,Supplementary,Yes,300 DPI,Document computational complexity and throughput
